ean,condition,price,currency,id_warehouse,count,price_cs,handling_time
4719331827632,,170,24.0,332344,0,,
4711081327288,,412,24.0,340147,5,,
4711081326809,,481,24.0,340145,5,,
5397184200841,,206,24.0,297513,5,,
4719331831356,,123,24.0,340163,1,,
8806092076570,,533,24.0,313092,5,,
5055862330135,,206,24.0,358445,2,,
4719072926991,,99,24.0,354215,5,,
4719331309466,,443,24.0,323012,5,,
4719331830809,,90,24.0,340151,2,,
4719072800543,,113,24.0,312445,0,,
4718017058964,,202,24.0,251984,5,,
5025232916825,,206,24.0,341510,5,,
4719331309619,,502,24.0,324453,0,,
4549292096132,,35,24.0,228506,5,,
8712581760816,,433,24.0,295792,2,,
4719331309794,,443,24.0,324462,5,,
8806090312458,,103,24.0,286810,5,,
4718017782340,,117,24.0,289974,5,,
7340172702788,,80,24.0,315883,0,,
4718017245777,,268,24.0,287546,0,,
5901292517151,,195,24.0,335448,0,,
4719331301699,,85,24.0,225006,5,,
4719512098738,,122,24.0,324418,1,,
4549292118971,,65,24.0,248792,5,,
4710886596578,,102,24.0,358500,5,,
4719331828431,,207,24.0,336039,5,,
9120072371981,,148,24.0,334988,2,,
8806090312465,,68,24.0,286809,5,,
4719072681852,,230,24.0,274161,0,,
4549292198423,,68,24.0,348744,5,,
8806091068736,,158,24.0,322005,0,,
5901292517571,,305,24.0,349336,5,,
4719072907907,,156,24.0,336104,4,,
4710562241983,,516,24.0,301406,0,,
4719331305888,,311,24.0,274426,5,,
8806090663628,,378,24.0,311347,1,,
4719072754259,,78,24.0,313046,0,,
8806091323965,,137,24.0,218589,5,,
4713224521652,,51,24.0,276962,0,,
4710562242263,,395,24.0,305135,5,,
6971408154357,,353,24.0,336473,0,,
4718017953443,,347,24.0,308595,1,,
4718017637657,,495,24.0,292037,5,,
