Product ID (EAN/UPC/ISBN/ISSN/Allegro Product ID),Main Category,Leaf Category,Reference number/Seller SKU,Quantity,Price,Title,Images,Offer Description,Shipping Price List
8806090969386,,,221161,5,645,,,,
4719072850760,,,328005,3,2779,,,,
4711081941033,,,357467,1,1728,,,,
8806091101433,,,345901,5,1340,,,,
4719072722340,,,287845,1,485,,,,
5901292511210,,,302878,5,726,,,,
8806090452437,,,300130,5,709,,,,
5901292514594,,,302903,5,1340,,,,
4895106290662,,,329699,0,1490,,,,
4718017623544,,,289973,5,517,,,,
4719512095140,,,293250,2,379,,,,
4719512072165,,,242180,0,809,,,,
4719072754266,,,313040,1,536,,,,
4718017758284,,,289977,0,404,,,,
4549292186550,,,343353,1,1049,,,,
4719512080269,,,257361,2,327,,,,
4713883549714,,,234332,5,887,,,,
4719072902940,,,348042,5,822,,,,
4038986149600,,,317279,1,452,,,,
4719331828455,,,336843,0,879,,,,
4719331309350,,,322095,5,1718,,,,
8806092014794,,,270817,1,968,,,,
4711081453314,,,332473,4,759,,,,
4713218460394,,,217741,5,231,,,,
4719072912444,,,344941,0,599,,,,
4711081154273,,,359430,5,371,,,,
5397184567630,,,337076,5,1541,,,,
0239425302370,,,110669,5,226,,,,
8715946633862,,,238165,5,486,,,,
4719331311520,,,361464,5,6225,,,,
4719512087381,,,287500,2,411,,,,
8806090961892,,,297450,5,483,,,,
4719072924980,,,351336,2,323,,,,
4710636268915,,,184595,0,210,,,,
4719331310691,,,344557,0,1391,,,,
4718755085840,,,335062,1,1583,,,,
8806091613059,,,345841,5,6790,,,,
4548736138544,,,348956,3,4041,,,,
4548736137042,,,348960,5,8891,,,,
4260183364085,,,272436,4,404,,,,
4718017521741,,,285582,1,355,,,,
4549292090741,,,229869,5,289,,,,
8806090351679,,,286817,5,485,,,,
4718017924665,,,299915,5,355,,,,
4719331827632,,,332344,0,802,,,,
4711081327288,,,340147,5,1939,,,,
4711081326809,,,340145,5,2262,,,,
5397184200841,,,297513,5,968,,,,
4719331831356,,,340163,1,581,,,,
8806092076570,,,313092,5,2505,,,,
5055862330135,,,358445,2,970,,,,
4719072926991,,,354215,5,467,,,,
4719331309466,,,323012,5,2082,,,,
4719331830809,,,340151,2,423,,,,
4719072800543,,,312445,0,534,,,,
4718017058964,,,251984,5,950,,,,
5025232916825,,,341510,5,968,,,,
4719331309619,,,324453,0,2360,,,,
4549292096132,,,228506,5,168,,,,
8712581760816,,,295792,2,2036,,,,
4719331309794,,,324462,5,2084,,,,
8806090312458,,,286810,5,485,,,,
4718017782340,,,289974,5,549,,,,
7340172702788,,,315883,0,379,,,,
4718017245777,,,287546,0,1262,,,,
5901292517151,,,335448,0,920,,,,
4719331301699,,,225006,5,399,,,,
4719512098738,,,324418,1,574,,,,
4549292118971,,,248792,5,305,,,,
4710886596578,,,358500,5,483,,,,
4719331828431,,,336039,5,975,,,,
9120072371981,,,334988,2,695,,,,
8806090312465,,,286809,5,323,,,,
4719072681852,,,274161,0,1080,,,,
4549292198423,,,348744,5,320,,,,
8806091068736,,,322005,0,742,,,,
5901292517571,,,349336,5,1434,,,,
4719072907907,,,336104,4,736,,,,
4710562241983,,,301406,0,2424,,,,
4719331305888,,,274426,5,1462,,,,
8806090663628,,,311347,1,1777,,,,
4719072754259,,,313046,0,370,,,,
8806091323965,,,218589,5,645,,,,
4713224521652,,,276962,0,242,,,,
4710562242263,,,305135,5,1858,,,,
6971408154357,,,336473,0,1659,,,,
4718017953443,,,308595,1,1631,,,,
4718017637657,,,292037,5,2327,,,,
