sku;product-id;product-id-type;description;internal-description;price;price-additional-info;quantity;min-quantity-alert;state;available-start-date;available-end-date;logistic-class;discount-start-date;discount-end-date;discount-price;update-delete;fulfillment-latency;shipping-warehouse
362020,304467923,SKU,,,592.54,,3,,11,,,G,,,,update,,
345025,304557011,SKU,,,163.18,,1,,11,,,F,,,,update,,
299914,210665605,SKU,,,89.51,,0,,11,,,D,,,,update,,
235027,303890292,SKU,,,169.76,,0,,11,,,G,,,,update,,
312095,212532326,SKU,,,144.3,,1,,11,,,,,,,update,,
337994,304722764,SKU,,,223.52,,0,,11,,,G,,,,update,,
236557,303221236,SKU,,,46.13,,1,,11,,,,,,,update,,
264164,303256772,SKU,,,158.05,,5,,11,,,,,,,update,,
285585,209299258,SKU,,,99.55,,5,,11,,,,,,,update,,
324417,210758088,SKU,,,103.3,,0,,11,,,F,,,,update,,
335788,213607491,SKU,,,96.09,,5,,11,,,,,,,update,,
330893,213480539,SKU,,,864.06,,0,,11,,,G,,,,update,,
310901,212385507,SKU,,,353.07,,5,,11,,,E,,,,update,,
325881,307072805,SKU,,,336.02,,3,,11,,,,,,,update,,
320251,214225555,SKU,,,170.14,,5,,11,,,,,,,update,,
295902,209832466,SKU,,,196.6,,0,,11,,,G,,,,update,,
361463,307064004,SKU,,,433.57,,5,,11,,,L,,,,update,,
348891,304039973,SKU,,,929.48,,5,,11,,,,,,,update,,
345851,307062882,SKU,,,653.96,,5,,11,,,,,,,update,,
351055,306448174,SKU,,,877.81,,5,,11,,,L,,,,update,,
335622,304309966,SKU,,,82.26,,4,,11,,,D,,,,update,,
348111,305567068,SKU,,,591.0,,1,2,11,,,D,,,,update,,
345262,208620084,SKU,,,99.55,,5,,11,,,G,,,,update,,
289969,209975452,SKU,,,144.59,,5,,11,,,D,,,,update,,
332488,303901206,SKU,,,242.39,,5,,11,,,E,,,,update,,
345896,307052887,SKU,,,378.48,,2,,11,,,H,,,,update,,
282169,209272203,SKU,,,86.05,,5,,11,,,B,,,,update,,
288430,210137901,SKU,,,172.14,,3,,11,,,F,,,,update,,
362654,307046870,SKU,,,172.14,,2,,11,,,F,,,,update,,
320677,213423145,SKU,,,344.02,,5,,11,,,E,,,,update,,
361574,205154971,SKU,,,571.33,,1,,11,,,H,,,,update,,
312853,212954474,SKU,,,275.14,,5,,11,,,G,,,,update,,
345667,305075635,SKU,,,357.65,,0,,11,,,D,,,,update,,
356059,304382578,SKU,,,161.8,,5,,11,,,D,,,,update,,
346176,213504205,SKU,,,65.38,,0,,11,,,,,,,update,,
312571,303255823,SKU,,,75.55,,3,,11,,,C,,,,update,,
283329,210475190,SKU,,,206.26,,5,,11,,,G,,,,update,,
343352,304883307,SKU,,,189.05,,0,,11,,,,,,,update,,
320671,213374620,SKU,,,85.71,,0,,11,,,G,,,,update,,
327650,205623199,SKU,,,193.51,,5,,11,,,G,,,,update,,
312423,213524208,SKU,,,128.55,,5,2,11,,,E,,,,update,,
339032,307071732,SKU,,,2065.93,,5,,11,,,,,,,update,,
326158,214109235,SKU,,,339.73,,5,,11,,,E,,,,update,,
358486,213607486,SKU,,,130.51,,5,,11,,,,,,,update,,
324263,212842007,SKU,,,117.05,,5,,11,,,D,,,,update,,
288296,209925627,SKU,,,516.2,,0,2,11,,,G,,,,update,,
323016,214122558,SKU,,,554.33,,0,,11,,,E,,,,update,,
282988,303755194,SKU,,,151.22,,5,,11,,,G,,,,update,,
265060,208536891,SKU,,,55.42,,1,,11,,,F,,,,update,,
