INFO:root:fetched web pages and saved to /shop/*.html
INFO:root:scraping the web page for data: https://www.czc.cz/dell-s2421h-led-monitor-24/297502/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-s24r350-led-monitor-24/272383/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-tuf-gaming-vg34vql1b-led-monitor-34/308594/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/fujifilm-instax-mini-40-ex-d/331798/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/lg-32lm6380-80cm/318199/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-tuf-gaming-b660m-plus-wifi-d4-ddr4-intel-b660/335632/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-vg27wq1b-led-monitor-27/291882/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/sharp-32bc2e-81cm/280615/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-prime-b660m-a-d4-ddr4-intel-b660/335628/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/aoc-24g2zu-led-monitor-23-8/338611/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-qe50q60ba-125cm/340197/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-rog-strix-b550-a-gaming-amd-b550/300780/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-mag-b550-tomahawk-amd-b550/291438/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/epson-workforce-pro-wf-c4810dtwf/345586/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/adata-hd650-usb3-1-1tb-cervena/143386/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/adata-hd710-pro-usb3-1-4tb-cerny/217744/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/seagate-game-drive-for-playstation-4-2tb-cerna/271850/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-z590-ud-ac-intel-z590/312438/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/sapphire-radeon-pulse-rx550-4gb-4gb-gddr5/212978/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/alienware-aw2521h-led-monitor-25/308474/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/thomson-43ug6400-108cm/312986/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/philips-65pus7906-164cm/315172/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/philips-58pus8506-146cm/315165/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/philips-55oled807-139cm/351058/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-odyssey-g5-led-monitor-32/297301/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/philips-55pus7506-139cm/315162/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-ssd-980-pro-m-2-1tb/298701/produkt
