sku;product-id;product-id-type;description;internal-description;price;price-additional-info;quantity;min-quantity-alert;state;available-start-date;available-end-date;logistic-class;discount-start-date;discount-end-date;discount-price;update-delete;fulfillment-latency;shipping-warehouse
324650;213930184;SKU;;;557.00;;5;;11;;;E;;;;update;;
344484;305075049;SKU;;;129.00;;5;;11;;;F;;;;update;;
345752;212941989;SKU;;;205.00;;0;;11;;;G;;;;update;;
347751;214116123;SKU;;;299.00;;5;;11;;;G;;;;update;;
351193;307072147;SKU;;;562.00;;2;;11;;;;;;;update;;
357476;307064145;SKU;;;279.00;;5;;11;;;D;;;;update;;
321532;213456561;SKU;;;459.00;;1;2;11;;;H;;;;update;;
342143;307071739;SKU;;;2560.00;;0;;11;;;;;;;update;;
351047;305051579;SKU;;;189.00;;5;;11;;;;;;;update;;
340154;304552599;SKU;;;135.00;;5;;11;;;D;;;;update;;
357793;307072813;SKU;;;662.00;;5;;11;;;;;;;update;;
360607;307085263;SKU;;;1799.00;;5;;11;;;F;;;;update;;
322013;214118005;SKU;;;226.00;;5;;11;;;G;;;;update;;
350430;305071920;SKU;;;259.00;;5;;11;;;G;;;;update;;
340155;304617215;SKU;;;169.00;;5;;11;;;D;;;;update;;
311768;212224656;SKU;;;109.00;;2;;11;;;D;;;;update;;
335623;304381422;SKU;;;109.00;;5;;11;;;D;;;;update;;
351046;304905637;SKU;;;190.00;;5;;11;;;F;;;;update;;
335450;304489109;SKU;;;253.00;;5;;11;;;;;;;update;;
321809;214142591;SKU;;;439.00;;1;;11;;;E;;;;update;;
289967;209975457;SKU;;;309.00;;5;;11;;;D;;;;update;;
346671;304893418;SKU;;;229.00;;0;;11;;;G;;;;update;;
321981;213456553;SKU;;;190.00;;5;;11;;;G;;;;update;;
311752;212224662;SKU;;;159.00;;0;;11;;;D;;;;update;;
335631;304382596;SKU;;;225.00;;5;;11;;;D;;;;update;;
218600;203221603;SKU;;;207.00;;5;;11;;;G;;;;update;;
290012;303858239;SKU;;;359.00;;5;;11;;;G;;;;update;;
354351;304382581;SKU;;;259.00;;4;;11;;;D;;;;update;;
250838;212599051;SKU;;;131.00;;5;;11;;;;;;;update;;
348167;213248216;SKU;;;376.00;;1;;11;;;H;;;;update;;
347904;307071731;SKU;;;1610.00;;1;;11;;;;;;;update;;
317283;211114995;SKU;;;113.00;;5;;11;;;;;;;update;;
315171;214129722;SKU;;;699.00;;5;;11;;;;;;;update;;
345897;306481992;SKU;;;599.00;;5;;11;;;L;;;;update;;
327649;214213508;SKU;;;149.00;;5;;11;;;;;;;update;;
213795;203549246;SKU;;;110.00;;0;;11;;;C;;;;update;;
343874;304552627;SKU;;;205.00;;5;;11;;;F;;;;update;;
345577;213931768;SKU;;;107.00;;5;;11;;;;;;;update;;
320578;213720956;SKU;;;1209.00;;0;2;11;;;D;;;;update;;
262208;208513632;SKU;;;185.00;;5;;11;;;D;;;;update;;
332342;304090219;SKU;;;190.00;;5;;11;;;D;;;;update;;
332348;304162752;SKU;;;219.00;;0;;11;;;D;;;;update;;
312442;213233485;SKU;;;179.00;;0;;11;;;D;;;;update;;
286812;303854237;SKU;;;83.00;;5;;11;;;;;;;update;;
345687;305044354;SKU;;;410.00;;3;;11;;;E;;;;update;;
283912;209299257;SKU;;;209.00;;1;;11;;;G;;;;update;;
165279;301280407;SKU;;;485.00;;4;;11;;;H;;;;update;;
348732;305051440;SKU;;;119.00;;5;;11;;;;;;;update;;
313743;214161037;SKU;;;459.00;;5;;11;;;I;;;;update;;
217778;204176472;SKU;;;80.00;;4;;11;;;;;;;update;;
235587;203954555;SKU;;;129.00;;0;;11;;;G;;;;update;;
335638;304382589;SKU;;;235.00;;5;;11;;;D;;;;update;;
332930;304008650;SKU;;;169.00;;5;;11;;;D;;;;update;;
287502;205459965;SKU;;;58.00;;2;;11;;;;;;;update;;
346084;209959627;SKU;;;146.00;;2;;11;;;;;;;update;;
254535;207788275;SKU;;;309.00;;0;;11;;;E;;;;update;;
345578;210127080;SKU;;;121.00;;5;;11;;;;;;;update;;
338599;212594670;SKU;;;204.00;;5;;11;;;;;;;update;;
281237;210568736;SKU;;;899.00;;1;;11;;;;;;;update;;
336102;304843005;SKU;;;159.00;;4;;11;;;D;;;;update;;
312432;213424695;SKU;;;189.00;;0;;11;;;D;;;;update;;
221161;212599080;SKU;;;169.00;;1;;11;;;G;;;;update;;
328005;303917252;SKU;;;639.00;;5;;11;;;E;;;;update;;
201944;202436860;SKU;;;49.00;;5;;11;;;F;;;;update;;
sklRB5b2m4b;307072101;SKU;;;1369.00;;5;;11;;;;;;;update;;
357467;307047026;SKU;;;445.00;;3;;11;;;D;;;;update;;
345901;306459460;SKU;;;329.00;;5;;11;;;G;;;;update;;
287845;209708716;SKU;;;159.00;;3;;11;;;D;;;;update;;
302878;205623200;SKU;;;203.00;;1;;11;;;F;;;;update;;
300130;211021204;SKU;;;189.00;;5;;11;;;;;;;update;;
302903;213718075;SKU;;;342.00;;5;;11;;;H;;;;update;;
329699;214258110;SKU;;;339.00;;5;;11;;;F;;;;update;;
289973;209975456;SKU;;;149.00;;0;;11;;;D;;;;update;;
